???,? m
0,7 m
1,0 m
2,0 m
0,6 m
1,1 m
1,7 m
0,5 m
1,0 m
1,6 m
0,3 m
0,7 m
1,1 m
0,3 m
0,6 m
1,0 m
0,3 m
1,1 m
1,5 m
0,3 m
0,7 m
0,3 m
1,2 m
2,0 m
3,5 m
0,4 m
0,8 m
0,6 m
1,0 m
0,4 m
0,8 m
1,3 m
0,5 m
0,9 m
1,4 m
0,6 m
1,3 m
0,6 m
1,1 m
0,5 m
1,0 m
0,8 m
1,6 m
0,5 m
0,8 m
1,2 m
0,3 m
1,0 m
1,0 m
1,5 m
0,2 m
0,7 m
0,4 m
1,0 m
0,8 m
1,7 m
0,5 m
1,0 m
0,7 m
1,9 m
0,6 m
1,0 m
1,3 m
0,9 m
1,3 m
1,5 m
0,8 m
1,5 m
1,6 m
0,7 m
1,0 m
1,7 m
0,9 m
1,6 m
0,4 m
1,0 m
1,4 m
1,0 m
1,7 m
1,2 m
1,6 m
0,3 m
1,0 m
0,8 m
1,4 m
1,8 m
1,1 m
1,7 m
0,9 m
1,2 m
0,3 m
1,5 m
1,3 m
1,6 m
1,5 m
8,8 m
1,0 m
1,6 m
0,4 m
1,3 m
0,5 m
1,2 m
0,4 m
2,0 m
0,4 m
1,0 m
1,5 m
1,4 m
1,2 m
0,6 m
1,2 m
1,0 m
1,9 m
1,1 m
1,0 m
2,2 m
0,4 m
1,2 m
0,6 m
1,3 m
0,8 m
1,1 m
1,3 m
1,5 m
1,4 m
1,1 m
1,3 m
1,5 m
1,4 m
0,9 m
6,5 m
2,5 m
0,3 m
0,3 m
1,0 m
0,8 m
0,9 m
0,8 m
0,4 m
1,0 m
0,5 m
1,3 m
1,8 m
2,1 m
1,7 m
1,6 m
2,0 m
1,8 m
4,0 m
2,2 m
2,0 m
0,4 m
0,9 m
1,2 m
1,8 m
0,5 m
0,9 m
1,7 m
0,6 m
1,1 m
2,3 m
0,8 m
1,8 m
0,7 m
1,6 m
1,0 m
1,4 m
0,5 m
1,1 m
1,8 m
0,5 m
1,2 m
0,3 m
0,3 m
0,3 m
0,3 m
0,6 m
0,2 m
1,5 m
0,6 m
0,8 m
1,4 m
0,4 m
0,4 m
0,8 m
1,2 m
1,1 m
0,4 m
0,6 m
0,8 m
0,8 m
0,3 m
0,8 m
1,2 m
0,4 m
1,4 m
0,9 m
1,0 m
0,5 m
2,0 m
0,7 m
0,5 m
1,3 m
1,5 m
0,6 m
1,2 m
1,5 m
1,1 m
9,2 m
0,6 m
1,4 m
0,5 m
1,8 m
0,6 m
1,5 m
0,9 m
0,6 m
1,8 m
0,7 m
0,8 m
0,4 m
1,1 m
0,6 m
0,6 m
0,9 m
0,9 m
2,1 m
1,7 m
0,6 m
1,4 m
1,8 m
0,5 m
1,1 m
0,6 m
1,4 m
1,2 m
0,7 m
1,4 m
0,4 m
0,6 m
0,7 m
1,2 m
1,5 m
1,9 m
2,1 m
2,0 m
0,6 m
1,2 m
2,0 m
5,2 m
3,8 m
0,6 m
0,5 m
0,9 m
1,7 m
0,4 m
0,9 m
1,9 m
0,4 m
0,7 m
1,5 m
0,5 m
1,0 m
0,4 m
0,5 m
0,3 m
0,6 m
1,0 m
0,7 m
1,2 m
0,5 m
1,2 m
1,5 m
0,5 m
1,0 m
1,3 m
0,3 m
0,7 m
0,6 m
1,2 m
0,4 m
0,8 m
1,6 m
0,5 m
0,8 m
0,4 m
1,2 m
0,8 m
1,4 m
2,0 m
0,5 m
0,8 m
0,8 m
0,6 m
1,0 m
1,5 m
1,0 m
2,3 m
0,2 m
1,0 m
0,6 m
1,1 m
0,5 m
0,6 m
0,4 m
0,9 m
2,1 m
0,6 m
1,3 m
0,6 m
